,theta,x_pointing,y_pointing
0,-0.631328217109,1030.02546463,1020.39873382
1,-0.722092660425,778.05975334,701.467092147
2,-0.618445201583,780.418867807,702.197767655
3,-0.720939264498,780.180102586,702.117570563
4,-0.967046815457,780.161780609,700.943757907
5,-1.85657427625,780.569659045,701.092157525
6,-1.47321773733,780.289253625,700.531911003
7,-0.630236090877,778.604031309,700.639438874
8,-0.728008954576,778.718737065,702.012550216
9,-0.971468144013,777.936606681,700.531483262
10,-1.88305453096,778.946886222,699.947400025
11,-1.499524102,778.020543032,699.751678947
12,-0.624036739761,776.156164196,699.967944611
13,-0.69207943038,775.790678014,700.205639913
14,-0.959965294668,776.187235814,698.244374951
15,-1.86293507145,776.579602592,698.203769289
16,-1.50410768476,774.929581963,698.216627989
17,-0.614466545403,775.59317754,697.969111899
18,-0.737327783045,775.753126444,698.725688867
19,-0.969204359785,775.440353618,697.156112294
20,-1.89362382138,775.442326038,697.142698824
21,-1.51307971856,772.459245107,696.99088384
22,-0.638799930184,772.152761975,696.649210906
23,-0.798098504075,772.184424188,697.282209247
24,-0.955615454145,772.752761144,695.863739326
25,-1.88454040006,771.921797924,695.68360051
26,-1.52640159835,770.272885263,695.316482552
27,-0.607123516118,769.366664903,695.170348359
28,-0.824709053387,767.749606987,696.051116835
29,-0.941323248703,766.585447198,695.486458461
30,-1.89521195752,767.75023451,695.055839488
31,-1.55521815633,766.948527969,694.049585051
32,-0.608024074318,768.184408615,693.639877807
33,-0.811694217868,766.218398443,694.649271373
34,-0.955498212529,766.684859258,692.991625351
35,-1.90675910925,767.418282268,692.560312275
36,-1.57075769318,766.199468816,691.456617487
37,-0.601152087141,766.177814804,692.010558849
38,-0.884919767326,766.064774722,693.175480703
39,-0.960043101412,765.27666768,691.334180401
40,-1.89187411852,765.187036886,690.937261804
41,-1.5712278368,763.562530428,691.205572977
42,-0.594299229163,763.059677732,691.052603121
43,-0.867334752645,762.73350767,691.987778928
44,-0.974919240067,761.437658044,690.433942742
45,-1.9215397152,761.436572046,689.415034272
46,-1.61365760843,759.279666671,689.375025585
47,-0.60898470071,759.794842447,689.695653949
48,-0.833230613285,759.088768296,690.467287424
49,-0.966105311426,758.928063917,689.381517854
50,-1.89157895117,759.052660055,688.010075283
51,-1.58790193393,757.277597981,688.346132649
52,-0.595298479819,756.769123555,688.137703546
53,-0.84406031291,756.71415389,689.074668566
54,-0.964508072435,755.176480136,687.451739801
55,-1.92125941638,755.449164117,687.746184843
56,-1.63761067996,753.860618629,686.623056769
57,-0.630435818536,753.505256131,686.387427059
58,-0.856279488474,754.057760893,686.9999105
59,-0.98537181474,752.41124136,686.004657987
60,-1.89827916842,753.341465251,685.639520025
61,-1.63872637279,752.325118133,685.287915294
62,-0.60877583714,751.581049933,685.403032119
63,-0.826691997373,751.998815,686.543685832
