,theta,x_guess2,y_guess2
0,-0.631328217109,1032.01223542,211.937155452
1,-0.722092660425,780.573763632,210.370986789
2,-0.618445201583,782.435388973,208.578639049
3,-0.720939264498,782.705953585,210.056269155
4,-0.967046815457,783.183307963,214.348748999
5,-1.85657427625,786.791752411,225.231476179
6,-1.47321773733,785.354756404,220.767736577
7,-0.630236090877,780.644243491,209.437361608
8,-0.728008954576,781.254301737,209.903243345
9,-0.971468144013,781.002953669,213.8764185
10,-1.88305453096,785.190004527,226.396377578
11,-1.499524102,783.079277671,220.821057961
12,-0.624036739761,778.134059052,209.273655698
13,-0.69207943038,778.307676522,209.714734368
14,-0.959965294668,779.144246007,213.134003344
15,-1.86293507145,782.879990525,225.215431625
16,-1.50410768476,780.004607604,220.672447528
17,-0.614466545403,777.568743189,209.30355963
18,-0.737327783045,778.262732345,210.531160519
19,-0.969204359785,778.476203749,213.494680882
20,-1.89362382138,781.634785902,225.515732287
21,-1.51307971856,777.52236784,221.345379084
22,-0.638799930184,774.141584222,209.346690231
23,-0.798098504075,774.724409724,210.781636884
24,-0.955615454145,775.810085841,213.696032057
25,-1.88454040006,778.24872936,225.925980442
26,-1.52640159835,775.344945984,220.564125818
27,-0.607123516118,771.411024342,208.478703675
28,-0.824709053387,770.7937385,210.871246475
29,-0.941323248703,769.525976203,213.280555885
30,-1.89521195752,774.090840045,225.570955996
31,-1.55521815633,772.01223941,220.587478789
32,-0.608024074318,770.236004482,208.934394321
33,-0.811694217868,768.747305066,211.501761623
34,-0.955498212529,769.592888205,213.727759855
35,-1.90675910925,773.639372071,226.0080601
36,-1.57075769318,771.254584848,221.410869654
37,-0.601152087141,768.184208844,207.808695639
38,-0.884919767326,769.058341074,212.195922994
39,-0.960043101412,768.395082339,213.033783637
40,-1.89187411852,771.3820481,225.978488527
41,-1.5712278368,768.642692503,221.03976862
42,-0.594299229163,765.151570283,207.862036736
43,-0.867334752645,765.848766677,212.553091398
44,-0.974919240067,765.049907322,213.516176799
45,-1.9215397152,767.590122574,225.838985763
46,-1.61365760843,764.374031802,221.929659212
47,-0.60898470071,761.827939518,208.89035529
48,-0.833230613285,762.124494474,211.625113435
49,-0.966105311426,761.835105125,212.933134628
50,-1.89157895117,765.286123731,224.793011096
51,-1.58790193393,762.365443256,221.472432141
52,-0.595298479819,758.812310014,207.872255
53,-0.84406031291,759.782447203,211.152999755
54,-0.964508072435,758.216445099,212.965256935
55,-1.92125941638,761.613828628,225.798560471
56,-1.63761067996,759.4466847,221.914384939
57,-0.630435818536,755.473262923,208.9148763
58,-0.856279488474,757.080828716,212.475597925
59,-0.98537181474,755.963131458,212.857884513
60,-1.89827916842,759.466138215,225.693646425
61,-1.63872637279,757.91437668,221.527324826
62,-0.60877583714,753.556368157,208.517471226
