,x_guess,y_guess
0,1030.02546463,1020.39873382
1,778.05975334,701.467092147
2,780.418867807,702.197767655
3,780.180102586,702.117570563
4,780.161780609,700.943757907
5,780.569659045,701.092157525
6,780.289253625,700.531911003
7,778.604031309,700.639438874
8,778.718737065,702.012550216
9,777.936606681,700.531483262
10,778.946886222,699.947400025
11,778.020543032,699.751678947
12,776.156164196,699.967944611
13,775.790678014,700.205639913
14,776.187235814,698.244374951
15,776.579602592,698.203769289
16,774.929581963,698.216627989
17,775.59317754,697.969111899
18,775.753126444,698.725688867
19,775.440353618,697.156112294
20,775.442326038,697.142698824
21,772.459245107,696.99088384
22,772.152761975,696.649210906
23,772.184424188,697.282209247
24,772.752761144,695.863739326
25,771.921797924,695.68360051
26,770.272885263,695.316482552
27,769.366664903,695.170348359
28,767.749606987,696.051116835
29,766.585447198,695.486458461
30,767.75023451,695.055839488
31,766.948527969,694.049585051
32,768.184408615,693.639877807
33,766.218398443,694.649271373
34,766.684859258,692.991625351
35,767.418282268,692.560312275
36,766.199468816,691.456617487
37,766.177814804,692.010558849
38,766.064774722,693.175480703
39,765.27666768,691.334180401
40,765.187036886,690.937261804
41,763.562530428,691.205572977
42,763.059677732,691.052603121
43,762.73350767,691.987778928
44,761.437658044,690.433942742
45,761.436572046,689.415034272
46,759.279666671,689.375025585
47,759.794842447,689.695653949
48,759.088768296,690.467287424
49,758.928063917,689.381517854
50,759.052660055,688.010075283
51,757.277597981,688.346132649
52,756.769123555,688.137703546
53,756.71415389,689.074668566
54,755.176480136,687.451739801
55,755.449164117,687.746184843
56,753.860618629,686.623056769
57,753.505256131,686.387427059
58,754.057760893,686.9999105
59,752.41124136,686.004657987
60,753.341465251,685.639520025
61,752.325118133,685.287915294
62,751.581049933,685.403032119
63,751.998815,686.543685832
64,751.613817576,684.698642995
65,751.602886962,684.288734533
66,749.628409846,684.397876754
67,749.762347624,684.559210212
68,750.145393753,685.031928169
69,748.753564969,684.493472496
70,747.852638623,684.568909182
71,747.13253058,684.362602855
72,747.716712639,684.079868118
73,746.633917919,685.43567276
74,746.244173216,684.343412257
75,746.142747381,684.103982197
76,743.729847161,683.13557271
77,742.030530566,683.245897206
78,742.800089975,684.512124861
79,742.724929488,683.257506517
80,742.763108473,682.830750103
81,741.454402777,682.427429029
82,741.560411435,682.483491674
83,740.357297019,683.299012075
84,740.241587652,682.349221163
85,740.4499562,682.255097211
86,737.980030785,681.794927721
87,738.562967536,682.160890979
88,738.130355942,683.446351234
89,737.084616339,682.17996947
90,737.555902698,682.163065414
91,736.637681434,682.86309604
92,735.17223247,683.10599915
93,735.56904634,684.124686071
94,735.065168443,683.396010614
95,735.128868285,682.22204159
96,733.691409606,683.060500027
97,732.97247978,683.160621689
98,732.03660798,683.714086661
99,732.360034838,683.068349777
100,732.49856267,683.202262649
101,731.535705121,683.647044593
102,731.951628942,683.462606033
103,732.458895152,685.126442201
104,731.71901574,684.362253304
105,731.85030428,684.026698337
106,730.305841982,684.784751091
107,730.71050973,685.105246549
108,730.682148193,686.494058722
109,730.647723063,685.607820947
110,732.758950792,686.196624744
111,731.060879672,686.429080689
112,730.993736055,686.477748104
113,730.620224447,687.454277414
114,729.47216512,686.642358215
115,729.751098481,687.006848076
116,727.46213222,687.101515166
117,726.277795692,687.00445203
118,726.485607202,688.453941232
119,725.496537263,687.708644619
120,725.690797314,687.080747457
121,724.348150713,687.575661321
122,723.321191898,687.618324471
123,723.959300667,688.918733194
124,721.575489014,687.933094575
125,720.573411907,687.818989197
126,719.842885598,688.484910734
127,718.522655334,688.74390642
128,717.250928753,689.984322453
129,717.090191181,688.666563363
130,717.444828722,688.19384654
131,715.847791288,688.854895181
132,715.69314921,689.203533422
